102 176
1 10 -1
1 7 1
10 11 1
8 10 1
9 10 1
10 98 1
100 102 1
101 102 1
98 102 1
99 102 1
7 11 1
8 11 1
9 11 1
12 13 1
12 14 1
13 14 1
14 15 1
13 15 1
16 18 1
16 23 1
16 27 1
16 34 1
16 38 1
16 40 1
17 20 -1
17 26 -1
17 38 -1
17 40 -1
18 20 1
18 23 1
18 24 1
18 25 1
18 27 1
18 31 1
18 38 1
18 19 1
19 20 1
19 23 1
19 26 1
19 30 1
19 31 1
19 34 -1
19 38 1
19 39 1
20 22 1
20 23 1
20 29 1
20 31 1
20 35 1
20 36 1
20 38 1
20 39 1
21 38 -1
22 38 1
23 24 -1
23 25 -1
23 27 -1
23 29 1
23 30 1
23 31 -1
23 34 -1
23 35 1
23 38 -1
23 40 1
24 26 1
24 38 1
20 25 1
25 31 1
25 38 1
25 40 1
26 28 1
26 38 1
26 39 1
27 35 1
27 38 1
28 38 1
29 38 1
24 31 1
31 35 1
31 36 1
31 38 1
23 32 -1
32 38 -1
32 40 1
33 38 1
20 34 -1
34 38 -1
34 40 -1
35 38 1
36 38 1
37 38 1
30 38 1
38 39 1
38 40 1
4 98 1
41 42 -1
41 43 1
41 44 1
41 45 1
41 46 1
41 47 1
41 48 1
42 43 1
42 45 1
43 44 1
43 45 1
43 46 1
43 47 1
44 45 1
44 47 1
45 47 1
49 55 1
50 55 1
51 55 1
51 57 -1
52 55 1
52 62 1
53 55 1
54 55 1
54 68 1
55 57 -1
55 58 1
55 59 1
55 61 1
55 62 1
55 63 1
55 68 1
55 80 1
58 68 1
61 68 1
57 62 -1
64 66 1
64 73 1
64 77 1
64 80 1
64 81 1
65 81 1
66 81 1
67 81 1
68 69 1
68 73 1
68 74 1
68 81 1
69 73 1
69 75 1
69 77 1
69 81 1
7 8 1
7 9 1
71 81 1
72 81 1
73 77 1
73 80 1
73 81 1
73 83 1
74 81 1
76 81 1
77 81 1
78 81 1
79 81 1
8 9 1
8 98 1
80 81 1
70 81 1
75 81 1
81 82 1
81 83 1
81 84 1
85 86 1
86 87 1
89 98 1
90 91 1
92 93 1
94 95 1
96 97 1
98 99 1
